2Pac - All Eyez on Me _ Linda Clifford - Never Gonna Stop,357
2Pac - California Love _ Joe Cocker - Woman to Woman,176
2Pac - California Love (Remix) _ Kleeer - Intimate Connection,2875
Ahmad - Back in the Day _ The Staple Singers - Let's Do It Again,605990
Alicia Keys - You Don't Know My Name _ The Main Ingredient - Let Me Prove My Love to You,330
Blackstreet - No Diggity _ Bill Withers - Grandma's Hands,23
Cam'ron - Down and Out _ William Bell - Strung Out,824
Cam'ron - Oh Boy _ Rose Royce - I'm Going Down,1038
Cam'ron - What Means the World to You _ The Police - Roxanne,825
Common - Be _ Albert Jones - Mother Nature,2206
Coolio - Gangsta's Paradise _ Stevie Wonder - Pastime Paradise,114
Danger Doom - Crosshairs _ Don Harper - Thoughtful Popper,10499
The Diplomats - Dipset Anthem _ Sanchez - One in a Million,880
The Diplomats - I Really Mean It _ Major Harris - I Got Over Love (Live),4080
DJ Jazzy Jeff & the Fresh Prince - Summertime _ Kool & the Gang - Summer Madness,183
Dr. Dre - Let Me Ride _ Parliament - Mothership Connection (Star Child),1730
Dr. Dre - The Next Episode _ David McCallum - The Edge,266
Dr. Dre - Nuthin' but a 'G' Thang _ Leon Haywood - I Want'a Do Something Freaky to You,435
Dr. Dre - What's the Difference _ Charles Aznavour - Parce Que Tu Crois,147
Dr. Dre - Xxplosive _ Soul Mann & the Brothers - Bumpy's Lament,367
Dru Hill - In My Bed (So So Def Remix) _ Le Pamplemousse - Gimmie What You Got,6268
Eric B. & Rakim - Don't Sweat the Technique _ Kool & the Gang - Give it Up,5290
Eric B. & Rakim - Paid in Full _ Dennis Edwards - Don't Look Any Further,1513
Erykah Badu - Bag Lady _ Soul Mann & the Brothers - Bumpy's Lament,197966
Erykah Badu - Didn't Cha Know _ Tarika Blue - Dreamflower,8049
The Firm - Phone Tap _ Chris Barber's Jazz Band - Petite Fleur,3281
Flying Lotus - Until the Quiet Comes _ Nina Simone - Sinnerman,231911
Fugees - Fu-Gee-La _ Teena Marie - Ooo La La La,141
Fugees - Killing Me Softly _ A Tribe Called Quest - Bonita Applebum,453
Fugees - Ready or Not _ Enya - Boadicea,13
Fugees - Zealots _ The Flamingos - I Only Have Eyes for You,2011
Ghostface Killah - All That I Got is You _ The Jackson 5 - Maybe Tomorrow,717
Ghostface Killah - Apollo Kids _ Solomon Burke - Cool Breeze,10934
Ghostface Killah - Daytona 500 _ Bob James - Nautilus,475
Ice Cube - It Was a Good Day _ The Isley Brothers - Footsteps in the Dark,232
Janet Jackson - Got Til it's Gone _ Joni Mitchell - Big Yellow Taxi,2104
Jay Electronica - Exhibit C _ Billy Stewart - Cross My Heart,15505
Jay Z - American Dreamin' _ Marvin Gaye - Soon I'll Be Loving You Again,265
Jay Z - Can I Live _ Isaac Hayes - The Look of Love,60
Jay Z - Dead Presidents _ Lonnie Liston Smith - A Garden of Peace,1337
Jay Z - D'evils _ Allen Toussaint - Go Back Home,4189
Jay Z - Feelin' It _ Ahmad Jamal - Pastures,778
Jay Z - Girls Girls Girls _ Tom Brock - There's Nothing in This World That Can Stop Me From Loving You,115
Jay Z - Girls Girls Girls (Part 2) _ The Persuaders - Trying Girls Out,343
Jay Z - Never Change _ David Ruffin - Common Man,308
Jay Z - Lucifer _ Max Romeo - Chase the Devil,8
Jay Z - The Ruler's Back _ Jackie Moore - If,57722
Jay Z - Song Cry _ Bobby Glenn - Sounds Like a Love Song,723
Jay Z - The Story of O.J. _ Nina Simone - Four Women,509747
Jay Z - Takeover _ The Doors - Five to One,1019
Junior M.A.F.I.A. - Get Money _ Sylvia Striplin - You Can't Turn Me Away,757
Junior M.A.F.I.A. - Gettin' Money _ Dennis Edwards - Don't Look Any Further,789
Kanye West - All Falls Down _ Lauryn Hill - Mystery of Iniquity,204222
Kanye West - Blame Game _ Aphex Twin - Avril 14th,65829
Kanye West - Drive Slow _ Hank Crawford - Wildflower,187
Kaney West - Champion _ Steely Dan - Kid Charlemagne,261
Kanye West - Gone _ Otis Redding - It's Too Late,328
Kanye West - Heard 'Em Say _ Natalie Cole - Someone That I Used to Love,3524
Kanye West - Late _ The Whatnauts - I'll Erase Away Your Pain,2269
Kanye West - Touch the Sky _ Curtis Mayfield - Move on Up,236
Kanye West - Two Words _ Mandrill - Peace and Love (Amani Na Mapenzi),324
Kanye West - We Don't Care _ The Jimmy Castor Bunch - I Just Wanna Stop,319
Kendrick Lamar - A.D.H.D _ The Jet Age of Tomorrow - The Knight Hawk,104959
Kendrick Lamar - Bitch Don't Kill My Vibe _ Boom Clap Bachelors - Tiden Flyver,174425
Kendrick Lamar - Chapter Six _ King - Hey,119650
Kendrick Lamar - Hol' Up _ Dick Walter - Shifting Sands of Sound,173986
Kendrick Lamar - Poetic Justice _ Janet Jackson - Any Time Any Place,174851
Kendrick Lamar - The Recipe _ Mr Twin Sister - Meet the Frownies,145576
Kendrick Lamar - Swimming Pools (Drank) _ Chrome - Distance,562342
Lil' Kim - Crush on You _ The Jeff Lorber Fusion - Rain Dance,497
Luniz - I Got 5 on It _ Club Nouveau - Why You Treat Me So Bad,22
Lupe Fiasco - The Cool _ Dexter Wansel - Life on Mars,5957
Lupe Fiasco - Kick Push _ Celeste Legaspi - Magtaksil Man Ikaw(Bolero Medley),339
Lupe Fiasco - Mural _ Cortex - Chanson d'un Jour D'hiver,326159
Madvillian - Accordian _ Daedelus - Experience,3610
Madvillain - ALL CAPS! _ Ironside - Opening Credits,308275
Madvillain - Figaro _ Lonnie Smith - In the Beginning,29814
Mary J. Blige - Real Love (Remix) _ Betty Wright - Clean Up Woman,2128
Method Man - Bring the Pain _ Jerry Butler - I'm Your Mechanical Man,4318
MF DOOM - Doomsday _ Sade - Kiss of Life,2808
MF DOOM - One Beer _ Cortex - Huit Octobre 1971,1310
Mobb Deep - Quiet Storm _ Grandmaster Melle Mel - White Lines (Don't Do It),6481
Mobb Deep - Shook Ones Part II _ Quincy Jones - Kitty With the Bent Frame,515
Nas - Hate Me Now _ Carl Orff - O Fortuna,912
Nas - If I Ruled the World _ Whodini - Friends,462
Nas - It Ain't Hard to Tell _ Michael Jackson - Human Nature,1151
Nas - Life's a Bitch _ The Gap Band - Yearning for Your Love,754
Nas - The Message _ Sting - Shape of My Heart,952
Nas - Nas is Coming _ The 24 Carat Black - Synopsis Two: Mother's Day,5229
Nas - Nas is Like _ John V. Rydgren and Bob R. Way - What Child is This,4061
Nas - N.Y. State of Mind _ Joe Chambers - Mind Rain,896
Nas - One Love _ The Heath Brothers - Smilin' Billy Suite Pt. II,977
Nas - Still Dreaming _ Diana Ross - The Interim,1027
Nas - Street Dreams _ Linda Clifford - Never Gonna Stop,358
Nas - The World is Yours _ Ahmad Jamal Trio - I Love Music,629
The Notorious B.I.G. - Big Poppa _ The Isley Brothers - Between the Sheets,420
The Notorious B.I.G. - Hypnotize _ Herb Alpert - Rise,374
The Notorious B.I.G. - Juicy _ Mtume - Juicy Fruit ("Fruity" Instrumental Mix),134
The Notorious B.I.G. - Mo Money Mo Problems _ Diana Ross - I'm Coming Out,18
The Notorious B.I.G. - One More Chance Stay With Me _ DeBarge - Stay With Me,1234
The Notorious B.I.G. - Sky's the Limit _ Bobby Caldwell - My Flame,1113
The Notorious B.I.G. - Somebody's Gotta Die _ The Dramatics - In the Rain,51827
The Notorious B.I.G. - Warning _ Isaac Hayes - Walk on By,65
The Notorious B.I.G. - Who Shot Ya _ David Porter - I'm Afraid the Masquerade is Over,1176
Pete Rock & C.L. Smooth - They Reminisce Over You (T.R.O.Y.) _ Tom Scott - Today,660
The Pharcyde - Passin' Me By _ Quincy Jones - Summer in the City,644
Pharoahe Monch - Simon Says _ Akira Ifukube - Gojira Tai Mosura,3487
Portishead - Glory Box _ Isaac Hayes - Ike's Rap II,5
Portishead - Strangers _ Weather Report - Elegant People,15107
Puff Daddy - Been Around the World _ David Bowie - Let's Dance,559
Puff Daddy - I'll Be Missing You _ The Police - Every Breath You Take,111
Puff Daddy - Victory _ Bill Conti - Going the Distance,913
Raekwon - Ice Cream _ Earl Klugh - A Time for Love,18822
Scarface - Guess Who's Back _ The Originals - Sunrise,332
Styles P - Good Times (I Get High) _ Freda Payne - I Get High (On Your Memory),749
Talib Kweli - Get By _ Nina Simone - Sinnerman,326
A Tribe Called Quest - Bonita Applebum _ Rotary Connection - Memory Band,870
A Tribe Called Quest - Electric Relaxation _ Ronnie Foster - Mystic Brew,874
A Tribe Called Quest - Scenario _ Brother Jack McDuff - Oblighetto,9804
Twista - Slow Jamz _ Luther Vandross - A House is not a Home,323
Twista - Overnight Celebrity _ Lenny Williams - Cause I Love You (1978 Version),1551
UGK - Int'l Players Anthem (I Choose You) _ Willie Hutch - I Choose You,1201
Warren G - Regulate _ Michael McDonald - I Keep Forgettin',203
Wu Tang Clan - C.R.E.A.M _ The Charmels - As Long as I've Got You,1158
Wu Tang Clan - Wu Tang Clan Ain't Nuthing Ta Fuck Wit _ W. Watts Biggers - Theme From Underdog,2971